,	, ,
'	' '
"	" "
(	( (
)	) )
/	/ /
.	SENT .
abadi	JJ abadi
abad	NN abad
abah	NN abah
abang	NN abang
abar	NN abar
abdi	NN abdi
abjad	NN abjad
abon	NN abon
absah	JJ absah
absen	VB absen
abses	NN abses
abstraksi	NN abstraksi
abu	NN abu
acak-acakan	JJ acak-acakan
acak	JJ acak
acara	NN acara
acar	NN acar
aci	JJ aci
acik	NN acik
acuan	NN acuan
acuh	JJ acuh
adab	NN adab
adat	NN adat
ada	VB ada
adem	JJ adem
adib	JJ adib
adik	NN adik
adil	JJ adil
adonan	NN adonan
adrenalin	NN adrenalin
aduan	NN aduan
aduh	UH aduh
adukan	NN adukan
adven	NN adven
advis	NN advis
aerodinamika	NN aerodinamika
aeronautika	NN aeronautika
afal	NN afal
afdal	JJ afdal
afiat	JJ afiat
afirmatif	JJ afirmatif
aforisme	NN aforisme
aga	JJ aga
agaknya	RB agaknya
agak	RB agak
agama	NN agama
agam	JJ agam
agar	IN agar
agas	NN agas
agen	NN agen
agitatif	JJ agitatif
agitator	NN agitator
agnostik	NN agnostik
agnostisisme	NN agnostisisme
agregasi	NN agregasi
agribisnis	NN agribisnis
agrobisnis	NN agrobisnis
agroindustri	NN agroindustri
agrokimia	NN agrokimia
agronomi	NN agronomi
agul	JJ agul
agunan	NN agunan
agung	JJ agung
ahad	NN ahad
ahli	NN ahli
aib	NN aib
air	NN air
ajaib	JJ ajaib
ajakan	NN ajakan
ajal	NN ajal
ajang	NN ajang
ajaran	NN ajaran
ajek	JJ ajek
aji	NN aji
ajukan	NN ajukan
akad	NN akad
akal	NN akal
akang	NN akang
akan	MD akan
akar	NN akar
akas	JJ akas
akbar	JJ akbar
akhiran	NN akhiran
akhir	NN akhir
akhirnya	RB akhirnya
akik	NN akik
aki	NN aki
akmal	JJ akmal
akrab	JJ akrab
aksa	JJ aksa
aksen	NN aksen
aksep	NN aksep
akses	NN akses
aksi	NN aksi
aksiomatik	JJ aksiomatik
akta	NN akta
aktif	JJ aktif
aktor	NN aktor
akuakultur	NN akuakultur
akumulatif	JJ akumulatif
aku	NN aku
akur	JJ akur
akut	JJ akut
ala	IN ala
alami	JJ alami
alam	NN alam
alap	JJ alap
alarm	NN alarm
alasan	NN alasan
alas	NN alas
alat	NN alat
album	NN album
alfabetis	JJ alfabetis
alfa	NN alfa
alias	RB alias
alibi	NN alibi
alim	JJ alim
alingan (aling-aling)	NN alingan (aling-aling)
aliran	NN aliran
alis	NN alis
alkoholisme	NN alkoholisme
Allah	NN Allah
allahuakbar	UH allahuakbar
almamater	NN almamater
almarhumah	NN almarhumah
alot	JJ alot
alpa	JJ alpa
altar	NN altar
alteratif	NN alteratif
alto	NN alto
altruisme	NN altruisme
alunan	NN alunan
alu	NN alu
alun	NN alun
aluran	NN aluran
alur	NN alur
alusi	NN alusi
amah	NN amah
amal	NN amal
amandemen	NN amandemen
aman	JJ aman
amat	JJ amat
ambai	NN ambai
ambalan	NN ambalan
ambal	NN ambal
ambasador	NN ambasador
amben	NN amben
ambiguitas	NN ambiguitas
ambilan	NN ambilan
ambivalen	JJ ambivalen
amil	NN amil
amin	UH amin
amir	NN amir
